ID,Family,Normative Text,Primary verification method,Lifecycle status,Introduced in,Changed in,Parent ID,Refines,Supersedes,Superseded by,Semantic delta,Default applicability,Edition,Build ID,Canonical source
AERA-ACTOR-001,ACTOR,"Each actor SHALL have workload identity, owner, role, competency basis, configuration, tool/data rights, consequence ceiling, lifecycle state, and retirement/suspension.","I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-ACTOR-002,ACTOR,"Before consequential proposal/effect, the implementation SHALL verify actor identity and consequence-material model, context, orchestration, tool, and runtime integrity against approved or declared degraded state.","I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-ACTOR-003,ACTOR,"Actors SHALL NOT subdelegate unless expressly permitted; permitted subdelegation SHALL preserve constraints/attribution and SHALL NOT increase scope, consequence, duration, tools, targets, or data rights.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-001,AUTH,"Every material autonomous action SHALL resolve at authorization time to a current, attributable, revocable delegation from an accountable grantor.","I, T, D",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-002,AUTH,"A delegation SHALL state grantor, grantee, permitted decisions/effects, target/domain, context, prohibitions, consequence ceiling, validity, evidence, subdelegation, escalation, and revocation.","I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-003,AUTH,"Revoking delegation, identity, policy, or actor SHALL invalidate and propagate withdrawal to all unexecuted derived authorizations within a declared consequence-specific bound.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-101,AUTH,"Every autonomous material effect SHALL resolve to a current, attributable, revocable delegation rooted in an accountable authority.","I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-102,AUTH,"Possession of credentials, resource access, network reachability, tool availability, model registration, or prior approval SHALL NOT be treated as decision authority.","I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-103,AUTH,"A delegation SHALL state subject, issuer, permitted actions, targets, purposes, effects, boundaries, consequence ceiling, validity, predicates, prohibitions, and revocation semantics.",I,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-104,AUTH,Subdelegation SHALL be prohibited unless every applicable parent grant explicitly permits it.,"I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-105,AUTH,"A child grant SHALL NOT expand the scope, duration, use, resource, consequence, oversight, evidence, enforcement, or recovery authority of its effective parent chain.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-106,AUTH,Expiration or revocation of a parent grant SHALL invalidate dependent grants within the maximum propagation time defined by policy.,"I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-107,AUTH,"The DAF SHALL validate the complete effective delegation chain, including issuer authority, integrity, revocation, attenuation, and applicable prohibitions.","I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-108,AUTH,An applicable explicit deny or higher-precedence prohibition SHALL prevail over a lower-precedence allow.,"I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-109,AUTH,"Emergency authority SHALL be purpose-limited, time-bounded, attributable, auditable, and unable to override constraints that the issuer lacks authority to modify.","I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-AUTH-110,AUTH,"A disconnected-operation grant SHALL define duration, decision scope, consequence ceiling, local evidence and time requirements, reconciliation, and behavior when any bound is exceeded.","I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-001,CONF,"A formal conformance claim SHALL identify the AERA version, profile, claimant, subject, decision population, architectural and operational boundaries, consequence scope, dependencies, inherited controls, exclusions, assessment-independence level, evidence-package identifier and assessment date, deviations, and date-based and event-based expiration conditions.","I, A",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-002,CONF,"For every requirement in the declared core and profile set, the claimant SHALL record applicability as APPLICABLE or NOT APPLICABLE separately from the assessment result; an APPLICABLE item SHALL be assessed SATISFIED, NOT SATISFIED, INDETERMINATE, or APPROVED DEVIATION, while a NOT APPLICABLE item SHALL identify rationale, evidence, approving authority, and invalidating conditions and SHALL NOT carry a satisfaction result.","I, A",PROPOSED,1.1 RC1 or earlier - lineage pending,1.2 WD,,,,,"Separated applicability from assessment result and added rationale, approval and invalidation metadata.",UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-003,CONF,"For each consequence-material capability, source, or control cited by an operational claim, the claimant SHALL identify the typed state model, report the highest evidenced control-deployment state as PRESENT, MONITORED, ACTIVE IN PATH, USED IN COMPUTATION, or VALIDATED EFFECTIVE, and SHALL NOT represent a lower state or a state from another model as establishing a higher state.","I, T, D",PROPOSED,1.1 RC1 or earlier - lineage pending,1.2 WD,,,,,Typed the general control-deployment state model and prohibited promotion of a lower evidenced state.,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-004,CONF,"Each deviation SHALL identify the unmet requirement, rationale, affected decision population and consequence class, compensating controls, residual risk, approving authority, monitoring, corrective action, expiration date, and event-based termination conditions.","I, A",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-005,CONF,A claim with an active approved deviation SHALL be labeled CONDITIONALLY CONFORMING.,"I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-006,CONF,An expired or unapproved deviation SHALL make the affected claim nonconforming.,"I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-007,CONF,Inherited controls SHALL be validated at the relying boundary and monitored for withdrawal conditions.,"I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-008,CONF,Material change SHALL suspend reliance on affected evidence until reassessment is complete.,"I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-009,CONF,"Assessment independence SHALL be reported separately as self, independent internal or external assessment.","I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONF-010,CONF,"AERA-aligned SHALL NOT be presented as equivalent to conforming, certified or compliant.","I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-101,CONS,"Each decision class SHALL use a documented consequence-classification method that addresses severity, affected scope, reversibility, time to harm, propagation, detectability, cumulative effects, mission significance, legal, rights, and safety significance, recovery time and resources, and uncertainty.","I, A",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-102,CONS,"Consequence classification SHALL use the highest class indicated by the worst credible direct, secondary, cumulative, propagated, or irreversible effect within the declared operating and threat context.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-103,CONS,A consequence attribute that establishes a higher minimum class SHALL NOT be reduced by averaging or offsetting it against lower-consequence attributes.,"I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-104,CONS,"The DAF SHALL re-evaluate consequence before further authorization when a sequence, batch, concurrent set, campaign, or portfolio can exceed an individual-action limit or alter the worst credible effect.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-105,CONS,"When available evidence supports more than one consequence class, classification SHALL use the highest applicable class until evidence supports a narrower class and the downgrade is approved by an authority independent of the proposer.","I, A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CONS-106,CONS,"When concurrent transactions share a cumulative effect or resource limit, the DAF and enforcement path SHALL use bounded reservations or an equivalent atomic control that prevents aggregate authorized or executed effects from exceeding the limit.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CY-001,CY,"Credentials used on a material-effect path SHALL be scoped, to the extent supported, to the authorized actor, audience, action, target, context, and validity interval; where native credential scoping is insufficient, the enforcement point SHALL enforce equivalent restrictions.","I, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CY-002,CY,"Each material effect SHALL pass through an enforcement point that is independently controllable from the proposer and capable of mediating the exact authorized actor, action, target, parameters, and context before the effect becomes irreversible or exits the recovery envelope.","A, T",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CY-003,CY,"For each material decision transaction, the implementation SHALL retain a tamper-evident record sufficient to reconstruct the causal chain from intent and authority through actor and configuration, proposal, evidence and provenance, policy and assurance verdicts, disposition, credential use, enforcement, observed effect, override, exception, and recovery.","I, T, D",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-CY-004,CY,"Cryptographic migration SHALL be driven by inventory, exposure period and interoperability evidence.","I, A, T and/or D as consequence requires",PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-001,DA,"Each decision class SHALL identify an accountable human authority who owns the delegation policy, approves residual risk, and remains answerable for autonomous outcomes.",Approved responsibility assignment; decision-class register; sampled interviews and authorization records.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-002,DA,"Every delegation SHALL identify the grantor, grantee, decision class, allowed effects, prohibited effects, target scope, consequence ceiling, context predicates, validity interval, subdelegation permission, and revocation method.",Machine-readable schema; validation tests; positive and negative delegation cases.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-003,DA,"Before authorization, the implementation SHALL validate the complete delegation chain to an approved trust anchor and SHALL NOT accept a missing, reordered, ambiguous, or unauthorized parent grant.",Chain-validation logs; malformed-chain tests; trust-anchor inventory.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-004,DA,"Subdelegation SHALL be denied unless the parent grant explicitly permits it and the derived grant is no broader in effect, consequence, duration, target, tool, or context.",Derived-grant comparison tests; transitive audit records; denied escalation cases.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-005,DA,"Revocation, expiry, actor-integrity loss, and material context change SHALL invalidate dependent authorization state within a documented maximum propagation time; stale state SHALL NOT authorize a new effect.",Revocation latency measurement; partition tests; cache-behavior evidence.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-006,DA,"The capability to grant authority, propose an action, classify consequence, authorize, enforce, and approve an override SHALL be separated according to consequence, and incompatible combinations SHALL require documented compensating controls.",Role matrix; policy tests; override review; compensating-control approval.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-007,DA,"Each non-human actor SHALL use a workload identity bound to its owner, role, model or software version, runtime integrity state, allowed tools, and consequence ceiling; a human account SHALL NOT be reused as the actor identity.",Workload identity records; attestation or equivalent integrity evidence; credential-use logs.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-008,DA,"Operational intent SHALL be attributable, versioned, integrity-protected, and machine-testable, and shall state objectives, priorities, constraints, measures of success, prohibited outcomes, and review or expiry conditions.",Signed intent object; conformance tests; change history.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-009,DA,"Intent and policy conflict-resolution rules SHALL define precedence, tie-breaking authority, and fail-safe behavior; unresolved conflict SHALL NOT be converted to permission by implementation order.",Conflict corpus; deterministic evaluation results; approved precedence specification.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
AERA-DA-010,DA,"Every assurance disposition SHALL record the exact policy bundle, policy version, material policy inputs, and evaluator version used; unapproved rollback to an earlier policy SHALL be rejected.",Disposition records; signed policy inventory; rollback and downgrade tests.,PROPOSED,1.1 RC1 or earlier - lineage pending,,,,,,,UNDETERMINED - claim-specific profile matrix required,1.2 WD,AERA-001-1.2WD-20260807.1,Authoritative PDF Appendix A; generated from controlled source
