Reference,Source,Status and version/date,Accessed,Official URL or DOI,Mapping direction,Required caveat
1,"NIST AI RMF 1.0, AI 100-1","FINAL, January 2023",2026-08-07,https://doi.org/10.6028/NIST.AI.100-1,AERA → source; partial,Voluntary risk framework; not a checklist or certification. Use as the current final mapped baseline while revision proceeds.
2,NIST AI RMF program page,LIVING STATUS PAGE; revision underway as of access date,2026-08-07,https://www.nist.gov/itl/ai-risk-management-framework,Context only,"Cite only for current program/revision status, not substantive requirements."
3,"National Institute of Standards and Technology, Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile, NIST AI 600-1, July 2024",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.AI.600-1,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
4,NIST AI 100-2 E2025,"FINAL, March 2025; official potential-updates notice posted June 2025",2026-08-07,https://doi.org/10.6028/NIST.AI.100-2e2025,"Source → AERA terminology; AERA DAT → source taxonomy, partial",AML taxonomy is not a complete agent-security or enterprise-authority threat model. Track official errata/potential updates.
5,NIST AI Agent Standards Initiative,"PROGRAM/INITIATIVE, created February 17 and updated April 20, 2026",2026-08-07,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,Context only,"Describes NIST activity and strategic pillars; it is not a standard, profile, control catalog, or endorsement of AERA."
6,NCCoE Software and AI Agent Identity and Authorization,"DRAFT CONCEPT PAPER, February 2026",2026-08-07,https://www.nccoe.nist.gov/publications/other/accelerating-adoption-software-and-ai-agent-identity-and-authorization-concept,Source → AERA terminology/context; AERA → source comparison,Scoping paper for a potential NCCoE project; no final architecture or normative control requirements.
7,NIST TRAI 800-5 agent-security RFI response analysis,"PUBLISHED ANALYSIS, May 18, 2026",2026-08-07,https://www.nist.gov/publications/summary-analysis-responses-request-information-regarding-security-considerations-ai,Context only; informs threat/research-gap rationale,"Summarizes stakeholder responses; it is not NIST guidance, consensus validation of submitted claims, or a control standard."
8,NIST IR 8596 Cyber AI Profile,"INITIAL PRELIMINARY DRAFT, December 16, 2025; comment period closed",2026-08-07,https://doi.org/10.6028/NIST.IR.8596.iprd,"AERA → draft source, contextual/partial",Draft profile subject to change. Do not treat draft outcomes as final requirements or a compliance basis.
9,NIST AI RMF Critical Infrastructure Profile concept note,"CONCEPT NOTE/ONGOING PROJECT, April 2026",2026-08-07,https://www.nist.gov/programs-projects/concept-note-ai-rmf-profile-trustworthy-ai-critical-infrastructure,Context only,Announces profile development and examples; it is not the profile and supplies no final control baseline.
10,"National Institute of Standards and Technology, The NIST Cybersecurity Framework (CSF) 2.0, NIST CSWP 29, February 2024",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.CSWP.29,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
11,"Rose, S.; Borchert, O.; Mitchell, S.; and Connelly, S., Zero Trust Architecture, NIST SP 800-207, August 2020",PUBLISHED / FINAL OR ACTIVE EDITION AS STATED,2026-08-07,https://doi.org/10.6028/NIST.SP.800-207,Informative comparison or contextual source; see Sections 22 and 31,"Directional use only; citation does not establish reciprocal compliance, AERA validity, adoption, certification, or endorsement."
